源文本	hel模型	liam模型
My favorite scenes in the show always have to do with emotional arcs within the characters.	我在节目中最喜欢的场景 总是和角色中的情绪弧有关	节目中我最喜欢的场景 总是和角色中的情绪弧有关
RepostI love you not because of who you are, but because of who I am when I am with you.	不是因为你是谁 而是因为我和你在一起时的我是谁	重回爱你不是因为你是谁 而是因为我和你在一起时的我是谁
Everybody needs just a little love, lots of hope and unshakable faith	每个人都需要一点爱 充满希望和坚定的信念	每个人只需要一点爱 充满希望和坚定的信念
It is not where you come from that counts, it is where you are going..	这不是你从何而来 而是你要去何方	不是你来自何方,而是你要去何方。
You will find happiness when you adopt positive thinking into your daily routine and make it an important part of your world.	当你在日常生活中采取积极思维, 并使它成为你世界的一个重要部分时, 你会发现幸福。	当你在日常工作中采用积极思维,使之成为你世界的一个重要部分,你会发现幸福。
When you have to start compromising yourself and your morals for the people around you, its probably time to change the people around you.	当你必须开始为周围的人 牺牲你自己和道德的时候, 它很可能是改变你周围的人的时候。	当你必须开始为周围的人 牺牲你自己和道德 改变周围的人的时候
No matter how hard it is, just keep going because you only fail when you give up.	无论有多难,只要继续前进 因为你只有在放弃的时候才会失败	不论有多难,只要继续前进,因为只有放弃才能失败。
I like the dreams of the future than the history of the past.	我喜欢未来的梦想 而不是过去的历史	我喜欢未来的梦想 而不是过去的历史。
Distance is not terrible, terrible is farther and farther.	距离并不可怕,距离越来越远。	距离并不可怕,距离越来越远。
matter how bad yesterday was, it should not impact the present and the future.	无论昨天有多糟糕,它不应该影响现在和未来。	不论昨天有多糟糕,它不应该影响现在和未来。
You never know how strong you are, until being strong is the only choice you have.	你永远不知道你有多坚强 直到你只有坚强才能选择	你永远不知道你有多强大 直到你只有坚强才是唯一的选择
forever friend holds your hand and tells you that everything is going to be okay.	永远的朋友握着你的手 告诉你一切都会好起来的	永远的朋友握住你的手 告诉你一切都会好起来的
Treat yourself well. Live for what tomorrow has to offer, not for what yesterday took away.	好好对待自己 活在明天能提供的东西上 而不是昨天夺走的东西上	活在明天要提供的东西上 而不是昨天夺走的东西上
you have to stop thinking too much and just go where your heart takes you	别再想太多,去你心所向之处	别再想太多,去你心所向之处
The best way to make your dreams come true is to wake up.	让你梦想成真的最佳方式 就是醒来	让你梦想成真的最佳方法 就是醒来
The true meaning of life is to plant trees, under whose shade you do not expect to sit.	生命的真正意义是植树,在树荫下,你并不期望坐在树荫下。	生命的真正意义是植树,在树荫下,你并不期望坐在树荫下。
Wake up from a dream, the dream might come true.	从梦中醒来 梦就会成真	从梦中醒来 梦可能成真
i have just one person.In a casual moment, only to find that, in fact, I have just one person.	我只有一个人, 暂时的, 只是为了发现,事实上,我只有一个人。	我只有一个人。 在一个临时时刻, 只是为了找到,事实上,我只有一个人。
He who smiles in a crisis has found someone to blame.	在危机中微笑的人 已经找了人来怪罪	身处危机中笑容的人 已经找了个罪魁祸首
You may doubt others, but never yourself.	你可能会怀疑别人 但永远不要怀疑自己	你可能会怀疑别人, 但不是你自己。
Life is change. Sometimes pain, sometimes wonderful. But most of the time, both.	生命是变化,有时是痛苦,有时是美妙的 但大部分时候都是	生命是变化,有时是痛苦,有时是美妙的,但大部分时间,两者都是。
It is not our abilities that show us who we truly are, it is our choices.	不是我们的能力告诉我们我们的真实身份,而是我们的选择。	并不是我们的能力告诉我们我们的真实身份,而是我们的选择。
To the world you are one person, but to one person you are the world.	对世界来说,你是一个人, 但对一个人来说,你就是世界。	向这个世界来说,你是一个人,向一个人来说,你就是这个世界。
Friends are the family we choose to have	朋友是我们所选择的家庭	朋友是我们所选择的家庭
You make the choice, and this is your price.	你做出选择,这是你的代价。	你做决定,这是你的代价。
I wonder how many people Ive looked at all my life and never seen.	我想知道有多少人,我看着 我一生,从未见过。	我想知道有多少人,我看着 我一生,从未见过。
Never say goodbye to love, because I dont want to be just a memory.	永远不要对爱说再见, 因为我不想只是一个回忆。	永远不要对爱情说再见, 因为我不想只是一个回忆。
You are merely a little part of my time in earth, a little understanding of my physical being. You have only, a little piece of me.	你只是我地球上时间的一部分, 了解我的身体。你只有我的一部分。	你只是我人生的一部分, 了解我的身体。你只有我的一部分。
Upgrade completed. A new chapter begins. Looking forward to staring at the FUCKING red dirt for the rest of my life.	升级完成,新的一章开始了 期待我下半辈子都盯着那该死的红土看	升级完成,新的一章开始了 期待我下半辈子 盯着那该死的红色泥土看
Success is liking yourself, liking what you do, and liking how you do it.	成功就是喜欢自己 喜欢自己的工作 喜欢自己的工作 喜欢自己的方式	成功就是喜欢自己 喜欢做你的工作 喜欢怎么做
No one can change a person,but someone can be a reason for that person to change.	没有人可以改变一个人,但有人可以成为这个人改变的理由。	任何人都不能改变一个人,但有人可以成为改变一个人的理由。
It makes sense.The first person that you think of in the morning and the last person you think of at night is either the cause of your happiness or the cause of your pain.	这是有道理的。 第一个人,你想到的早晨 和最后一个人,你想到的晚上 要么是你幸福的原因 要么是你痛苦的原因。	道理是有道理的。第一个你在早晨想到的人, 最后一个你在晚上想到的人, 要么是你幸福的原因,要么是你痛苦的原因。
Nobody can go back and start a new beginning, but anyone can start today and make a new ending.	没有人可以回去重新开始,但任何人都可以从今天开始,作出新的结局。	没有人可以回到过去,开始一个新的开端,但任何人都可以从今天开始,作出一个新的结局。
Many people start a career with a dream, then get busy forgetting it.	许多人以梦想开始职业生涯,然后忙着忘记它。	许多人以梦想开始职业生涯,然后忙于忘记梦想。
Except for you.Nobody knows what you want except for you.	除了你 没人知道你想要什么 除了你	除了你 没人知道你想要什么 除了你
I want to wake up where you are.	我想醒来 在那里你在哪里。	我想醒来 在那里你。
I feel stupid and contagious	我感觉自己愚蠢又传染	我感觉自己愚蠢又传染
Hard things are put in our way , not to stop us , but to call out our courage and strength.	困难的事物被置于我们的方式, 不是阻止我们, 而是号召我们的勇气和力量。	困难因素阻碍着我们的前进,不是要阻止我们,而是要鼓起我们的勇气和力量。
In order to discover new lands, one must be willing to lose sight of the shore for a very long time.	为了发现新的土地,人们必须愿意长期忽视海岸。	要想发现新的土地,人们必须愿意在很长一段时间内看不到岸边。
When someone walk out your life, let them. They are just making more room for someone else better to walk in.	当有人离开你的生活时,就放他们走,他们只是让别人有更大的空间,让别人走进去。	当有人走出你的生活时,就让他们去吧。他们只是在为别人腾出更多空间,让其他人走进去。
The high challengeI have never in my life felt more beautiful than when I have stood my tallest.	我这辈子从未感到过比当时我站得最高时 更美丽的挑战	我这辈子从未有比站得最高 更美丽的挑战
The value of life lies not in the length of days, but in the use we make of them.	生命的价值不在于天数的长度,而在于我们如何利用它们。	生命的价值不在于天数的长度,而在于我们对其的使用。
The world is so big, and life is so short. We need to do as much as possible to live our lives the way we want to.	世界如此之大,生命如此短暂。 我们需要尽最大的努力来过我们想要的生活。	这个世界如此巨大,生命如此短暂。 我们需要尽最大的努力来过我们想要的生活。
we are one family,stepping into the darkness together.We are a nation of many religions,but I believe these words reflect the spirit of all our faiths.	我们是一家人,一起踏入黑暗中,我们是一个有许多宗教的国家,但我相信这些话反映了我们所有信仰的精神。	我们是一个大家庭,共同进入黑暗。 我们是一个有许多宗教的国家,但我相信,这些话反映了我们所有信仰的精神。
things are very few in this world.That is the reason there is just one you.	世界上的事物是很少的。 这就是为什么只有一个你。	世界上的事物非常少。 这就是为什么只有一个你。
In fact the set patterns of Hollywood movies are all the same.	事实上好莱坞电影的固定模式 都是一样的。	事实上好莱坞电影的一套模式是相同的。
Regardless of what the obstacles may appear in my life, I will run my race, doing my best.	无论人生中遇到什么障碍 我都会尽我最大的努力去赛跑	不论人生中遇到什么障碍,我将尽我最大的努力,开展我的竞赛。
If you want to live a happy life, tie it to a goal. Not to people or things.	如果你想过幸福的生活, 把它与目标联系在一起, 而不是与人或事物。	如果你想过幸福的生活, 把它与目标联系在一起, 而不是与人或事物。
That picture was taken before training and I can only say that the smiles were gone by the time training was over.	那张照片是在训练前拍的,我只能说,训练结束时微笑已经消失。	那张照片是在培训前拍的,我只能说,培训结束时,微笑已经消失。
All or nothing, now or never	要么全部,要么什么都没有,要么现在,要么永远,要么永远	要么全部 要么什么都没有 要么现在 要么永远 要么永远
Nobody could ever replace you...	没有人能取代你...	没有人可以取代你...
Sad useless, let oneself live your life is the most important. Love is beautiful, but is not the life complete.	可悲的无用,让自己过你自己的生活是最重要的。爱是美丽的,但不是完整的。	可悲无用,让自己过人生是最重要的,爱是美丽的,但不是完整的。
A righteous person is delivered out of trouble, and the wicked takes his place.	正义的人,得免于忧患,恶人得替他辩护。	正义的人,得免忧患,恶人得替他辩护。
formation of a new government	组成新政府	组成新政府
Love is a lamp, while friendship is the shadow. When the lamp is off,you will find the shadow everywhere. Friend is who can give you strength at last.	爱 是 灯 、 友谊 是 阴影. 当 灯 熄灭 时 、 你 必 到处 找到 影子. 朋友 是 能 给 你 力量 的 人	爱是一盏灯,友谊是阴影。当灯熄灭时,你将发现每一处的阴影。朋友是最后能给你力量的人。
We say we love flowers, yet we pluck them. We say we love trees, yet we cut them down. And people still wonder why some are afraid when told they are loved.	我们说:我们爱花,我们却摘花;我们说:我们爱树,我们却砍树。人们仍然在想:为什么有人告诉他们自己被爱的时候会害怕呢?	我们说,我们爱花,但我们拔花。我们说,我们爱树,但我们砍树。人们仍然在想,当有人被告知他们被爱的时候,为什么有人害怕。
Love does not consist in gazing at each other, but in looking outward together in the same direction.	爱不在于互相凝视,而在于向着同一方向向外看。	爱不在于互相凝视,而在于向着同一个方向向外看。
you put somebody in their place, put yourself in their place.	你让别人代替他们 让你自己代替他们	你找人代替他们 找人代替他们
Explanation is unnecessary, because people know you do not need it.	解释是不必要的,因为人们知道你不需要解释。	解释是不必要的,因为人们知道你不需要解释。
Owls are the only birds that can see the colour blue	猫头鹰是唯一能看到蓝色颜色的鸟	猫头鹰是唯一能看到蓝色的鸟
During the depression, millions of the unemployed wandered around in the streets.	在萧条期间,数百万失业者在街上流浪。	在萧条期间,数百万失业者在街上流浪。
Presence, by its very nature accepts, allows, and includes. If you are involved in judgment, you cannot be present, for the simple reason that in Presence, there is no judgment.	存在本身的性质是接受、允许和包含的。如果你参与判决,你就不能在场,原因很简单,因为存在是没有判断的。	存在本身的性质是接受、允许和包括。如果你参与判决,你就不能在场,原因很简单,那就是存在是没有判断的。
The mighty desert is burning for the love of a blade of grass who  　　 shakes her head and laughs and flies away.	强大的沙漠正在燃烧 爱一刀草的爱, 谁摇晃她的头,笑笑和飞走。	强大的沙漠正在燃烧 爱一刀草, 谁摇晃她的头,欢笑和飞走。
Climate change could lead to crops from the banana family becoming a critical food source for millions of people, a new report says.	新报告指出,气候变化可能导致香蕉家族的作物成为数百万人的重要食物来源。	一份新报告指出,气候变化可能导致香蕉家族的作物成为数百万人的重要粮食来源。
I have a crush on you.	我爱上你了	我爱上你了
I endure cry, comedy is always very easy to ending	我忍受着哭泣 喜剧总是很容易结束	喜剧总是很容易结束
I would rather be a mistake maker than miss you.	我宁愿做一个错误的制造者 也不愿想念你	我宁愿做一个错误的制造者 也不愿想念你
The smell of baking bread wafted down the hallway.	走廊下面有烤面包的味道	走廊下面有烤面包的味道
When your mood is not good, go out for a walk. Do not let your bad mood bring confusion into the world or anxiety into your heart.	当你的心情不好的时候,就出去走走,不要让你的坏心情给世界带来混乱或焦虑。	当你的情绪不好时,请出去走走,不要让你的坏情绪给世界带来混乱或焦虑。
Today does not walk, will have to run tomorrow.	今天不走,明天必须跑。	今天不走,明天必须跑。
two people really care about each other, they will always look for a way to make it work, no matter how hard it is.	两个人真正关心对方, 他们总是会寻找一个方法 让它工作,不管有多辛苦。	两个人真正关心对方, 他们总是会寻找一个方法 让它工作,不管多么努力。
The U.S. Department of Justice defended its case against Apple and five major publishers, alleging that they conspired to raise the prices of electronic books.	美国司法部对苹果公司和五家主要出版商提出辩护,声称他们合谋提高电子书籍的价格。	美国司法部对苹果公司和五个主要出版商提出辩护,声称他们合谋提高电子书籍的价格。
I should try being myself.	我应该试着做我自己	我该试着做我自己
Friends are thieves of time.	朋友是时间的盗贼。	朋友是时间的盗贼。
The journey of life can get wearisome and bumpy at times, but good company can make the trip more pleasant. Extend the hand of friendship to your fellow travelers.	生活之旅有时会变得疲惫和动荡,但良好的公司可以使这次旅行更加愉快。将友谊之手伸展给同行的旅行者。	人生旅程有时会变得疲惫和动荡,但良好的公司可以使旅程更加愉快。 伸出友谊之手给同行的旅行者。
If you want to make your dream come true, the first thing you have to do is to wake up.	如果你想让你的梦想成真 你要做的第一件事就是醒来	如果你想让你的梦想成真, 你要做的第一件事就是醒来。
Do you still remember, once promised oneself what.	你还记得自己曾经答应过什么吗?	你还记得吗,曾经答应过自己什么的。
Sometimes you need to look back, otherwise you will never know what you have lost in the way of forever searching.	有时你需要回过头来, 否则你永远也不会知道你在永久搜索的过程中失去了什么。	有时你需要回首过去,否则你永远不知道自己在永久搜索过程中失去了什么。
What does it matter where I am if you are not with me.	如果你不和我在一起,我在哪里又有什么关系?	如果你不和我在一起,我在哪里又有什么关系?
Would you like to experiment with happy ,or you select to create happiness ,there are two ways for you in your life..	你想尝试快乐, 或者选择创造幸福, 在你的生活中有两种方式。	想要尝试快乐, 或者选择创造幸福, 生活有两种方式。
A relationship without trust, is like a phone without service.All you can do is play games.	没有信任的关系,就像没有服务的电话。你所能做的就是玩游戏。	一段没有信任的关系,就像一部没有服务的电话。你所能做的就是玩游戏。
Hold on to good friends,they are few and far between.	紧紧抓住好朋友,他们之间少得离我们很远	紧紧抓住好朋友,他们很少,距离遥远。
he who wants to eat egg must endures the crackling hen .	想要吃鸡蛋的人 一定要忍受那母鸡	想要吃鸡蛋的人 得忍受母鸡的煎熬
Wisdom is more to be envied than riches.	智慧比财富更值得羡慕	智慧比财富更值得羡慕。
Single, doesnt mean that u know nothing about love. 	单身 并不意味着你对爱情一无所知	单身 并不意味着你对爱情一无所知
Those were the best years of you life,cause they made you who he was.	那是你一生中最美好的时光 因为他们把你变成他	那是你人生中最美好的时光 因为他们让你成为了真正的他
Something you will realize only when you do it,when you make mistakes or when you grow up.	只有当你这样做, 当你犯错或长大后,你才会意识到一些事情。	只有当你做了,当你犯错或长大时,你才会意识到一些事情。
You just have to be happy. If you are, everything else will fall into place.	你只要快乐就好,如果你快乐的话, 其他一切都会落到实处的。	你只要快乐就好,如果你快乐的话, 其它一切都会落到实处的。
Ordinary people worry today and postpone their happiness for tomorrow.Wise people only wish happiness for all, today and tomorrow.	普通人今天会担心,明天会推迟他们的幸福。 人们只希望所有人今天和明天都幸福。	普通人今天要担心,明天要推迟他们的幸福。 怀有希望的人只希望所有人今天和明天都幸福。
God ,you must bless me always healthy.	上帝,你必须保佑我永远健康	上帝,你必须保佑我永远健康。
Pay attention to the gas, the fire and water as well as the falling trees and telephone poles.	注意煤气、火和水以及坠落的树木和电话杆。	注意气体、火和水,以及落下的树木和电话杆。
Nothing can change my love for you,,,	没有什么能改变我对你的爱	没有什么能改变我对你的爱
It was not yet strict monogamous, as polygamy was permitted for the leading members of the tribe.	它还不是严格的一夫一妻制,因为允许该部落主要成员实行一夫多妻制。	这种做法还不是严格的一夫一妻制,因为允许该部落主要成员实行一夫多妻制。
To acquire the habit of reading is to construct for yourself a refuge from almost all the miseries of life.	获得阅读习惯是为自己建造一个避风港,免于生命的几乎所有痛苦。	学会阅读的习惯是为自己建造一个避风港,摆脱几乎所有生命痛苦。
Sometimes you just have to pick yourself up and carry on.	有时候你只要自己站起来 继续做下去就行了	有时候你只需要 抬起自己 继续前进。
We did it unconsciously with less and less emotion and smile.We were not sure the reason why we locked tightly our heart was to eliminate loneliness or to protect ourselves.	我们不知不觉地用越来越少的情绪和微笑来做这件事情。 我们不确定为什么我们紧紧地锁住我们的心是为了消除孤独或保护我们自己。	我们用越来越少的情绪和微笑无意识地做了这件事。 我们不确定为什么我们紧紧地锁住我们的心是为了消除孤独或保护我们自己。
Not everything is meant to be. But everything is worth a try.	并非一切都是命中注定的 但一切都值得一试	并非一切都是注定的,但一切都值得一试。
You have everything and still the world holds no joy. Yet you make fun of those who would see it for its possibilities.	你拥有一切,而全世界仍然没有欢乐,你却嘲笑那些能看见它的人。	你拥有一切,这个世界仍然没有欢乐,你却嘲笑那些能看见它的人。
They say life is full of surprises that our dreams really can come true.	他们说生活充满了惊喜 我们的梦想真的可以成真	他们说生活充满了惊喜 我们的梦想真的可以成真
in order to be irreplaceable, one must always be different.	要成为不可替代的,就必须总是有不同的。	要成为不可替代的,就必须总是有不同的。
Good times become good memories. Bad times become good lessons.	好时光成为美好的回忆 坏时光成为美好的教训	美好时光成为美好的回忆 坏时光成为美好的教训
Love is a kind of chance encounter, and one can neither waiting nor preparing for it.	爱是一种偶然的遭遇,人们既不能等待,也不能准备。	爱是一种偶然的遭遇,人们既不能等待,也不能准备。
Do not walk behind me, for I may not lead. Do not walk ahead of me, for I may not follow. Do not walk beside me either. Just pretty much leave me the hell alone.	不要走在我身后,因为我不能领路,不要走在我前面,不要走在我前面,不要走在我后面,不要走在我旁边,不要走在我旁边,不要离我远去,不要离我远去。	你们不要在我后面行走,我或许不能前行,不要在我前面行走,不要在我前面行走,不要在我前面行走,不要在我后面行走,不要使我一个人在地獄中。
Life can not be alive by mood, and must depend on the attitude to life.	生活不能凭心情生存,必须依赖对生活的态度。	生活不能凭心情生存,必须依赖对生活的态度。
Objectives more clearly, the more substantial person. Find more absurd than the life you want. Among the swinging find themselves.	更清晰的目标,更实质性的人。 找到比你想要的生活更荒谬的事物。 在摇摆中发现自己。	目标更明确, 更实质性的人。 找到比你想要的生活更荒谬的事物。 在摇摆的人群中, 发现自己 。
Every story has an ending. But in life, every ending is a new beginning	每个故事都有结局 但是在生活中,每个结局都是一个新的开始	每一个故事都有结局。但在生活中,每一个结局都是一个新的开端。
Among thousands of people,I recognized you the first moment I saw you.	在成千上万的人中,我第一次见到你时就认出了你	无数人中 我第一眼看到你就认出了你
First love never dies, but true love can bury it alive.	初恋永不死 但真爱能活埋它	初恋永不死,但真爱能活埋它
i love you	我爱你	我爱你
Make a wish Live beautifully, dream passionately and love completely.	做一个愿望 美丽地生活 充满激情的梦想 彻底的爱	做一个愿望 美丽地生活 充满激情的梦想 彻底的爱
A wise man never loses anything if he has himself.	聪明人只要有自己 就不会失去任何东西	聪明人只要有自己,就永远不会失去任何东西。
This is the schedule for application class this week.	这是本周申请类的时间表 。	这是本周申请类的时间表 。
I believe happy girls are the prettiest girls.	我相信快乐的女孩是最漂亮的女孩	我相信快乐的女孩 是最漂亮的女孩。
I had the blues because i had no shoes.Until upon the street,I met a man who had no feet.	我有蓝调,因为我没有鞋子 直到在街上,我遇到了一个没有脚的男人	我有蓝调,因为我没有鞋子。 直到在街上,我遇到了一个没有脚的男人。
The warm smile,if the quality.	温暖的微笑,如果质量。	温暖的微笑,如果质量。
I think I can forget, but still overestimate their own.	我想我可以忘记, 但还是高估了他们自己的。	我想我可以忘记,但还是高估了他们自己的。
The spirit to whom Milton is praying was the actual vehicle through which God created the universe.	米尔顿祈祷的精神 是上帝创造宇宙的真正工具	米尔顿祈祷的精神是上帝创造宇宙的真正工具。
difficulties  occur  but  not  the   loss   of   courage.	出现困难,但不丧失勇气。	出现困难,但不是丧失勇气。
friend is someone who knows the song in your heart and can sing it back to you when you have forgotten the words.	朋友是了解你内心的歌声的人 当你忘记了歌词后 可以再唱给你听	朋友是一个了解你内心歌曲的人 等你忘记了歌词 就能唱回给你听
People living in the world can not be too greedy, to learn how to make a choice.	生活在世界上的人不能过于贪婪,无法学会如何作出选择。	生活在世界上的人不能过于贪婪,无法学会作出选择。
Sometimes, you need to step outside, clear your head, and remind yourself of who you are and where you wanna be.	有时候,你需要走出外面, 清醒你的头, 并提醒自己,你是谁, 你想在哪里。	有时候,你需要走出门, 清醒你的头, 并提醒自己你是谁, 以及你想成为什么人。
Life isn't tied with a bow,but its still a gift.	生命不是和弓联系在一起的, 但它仍然是一个礼物。	人生不是和弓联系在一起的, 但它仍然是一个礼物。
when you are gone	当你们离开的时候,	那时,你已逝去,
What you see reflects what your heart is like.	你所看到的 反映了你内心的本性	你所看到的 反映了你内心的模样
Time is the best medicine.I can feel you forgetting me.	时间是最好的药 我能感觉到你忘了我	时间是最好的药 我能感觉到你忘了我
If we did all the things we are capable of doing, we would literally astound ourselves.	如果我们做了我们所能做的一切,我们就会感到惊讶。	如果我们做了我们所能做的所有事情,我们就会非常惊讶。
You are always trying to get my goat.	你总是想得到我的山羊。	你总是想得到我的山羊。
Precisely.A celebrity is a person who works hard all his life to become well known, then wears dark glasses to avoid being recognized.	一位名人一生辛勤工作, 才能成为名人,	一位名人一生辛勤工作, 才能成为名人, 然后戴上暗眼镜, 避免被认出。
The darkness is no darkness with thee.	黑暗不是与你同在的黑暗	黑暗与你同在,不是黑暗。
Always remember that God sees the best in you, even when others choose to see the worst.	永远记住,上帝在你们心中是最好的,即使其他人选择看最坏的。	永远记住,上帝在你们眼中是最好的,即使其他人选择看最坏的。
The mighty desert is burning for the love of a blade of grass who shakes her head and laughs and flies away.	强大的沙漠正在燃烧 爱一刀草的爱, 谁摇晃她的头,笑笑和飞走。	强大的沙漠正在燃烧 爱一刀草, 谁摇晃她的头,欢笑和飞走。
There are two kinds of people, those that do the work and those that take the credit	有两种人 一种是做工的 另一种是功劳的 另一种是功劳的	共有两种人,一种是做工作的,另一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功劳的,一种是功功功功的,一种是功劳的,一种是功功功功的,一种是功功功功的,一种是功功功功的,
Promise more, do not. It is just a lie	保证更多,不要,这只是谎言	保证更多,不要,这只是谎言
If I say leave me alone,actually I need you more than at any time.	如果我说别管我 事实上我比任何时候都更需要你	如果我说别管我 事实上我比任何时候都更需要你
Love is like a butterfly. It goes where it pleases and it pleases where it goes	爱就像蝴蝶 爱随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它随它去	爱就像蝴蝶 随它喜欢的地方 随它喜欢的地方 随它喜欢的地方
Sometimes it is the most casual  words of yours that hurt others the most.	有时候,这是你最随意的话 伤害别人最多。	有时候,你最随意的话 伤害别人最深。
Steve was such an original, with a thoroughly creative, imaginative mind that defined an era.	史蒂夫是这样一个原创的, 具有彻底的创造性, 富有想象力的思想 定义了时代。	史蒂夫是这样一个创举, 具有彻底的创造性, 富有想象力的思想, 定义了时代。
is sweeping way across the world	环游世界	环球飞跃
Beautiful Chinese indoor pool	美丽的中国室内游泳池	美丽的中国室内游泳池
In life we all have an unspeakable secret, an irreversible regret, an unreachable dream and an unforgettable love.	在生活中,我们都有一个不可言状的秘密,一个不可逆转的遗憾,一个无法实现的梦想和一个难以忘怀的爱。	在生活中,我们都有一个难以形容的秘密,一个不可逆转的遗憾,一个无法实现的梦想和一个难以忘怀的爱。
Gratitude  is  the  sign  of  noble  souls	感谢是高贵灵魂的象征	感谢是高贵灵魂的标志
All day from all flowers you make much honey, those who plunder the fruit of your toil are happy.	一天天从所有花朵中抽出 你做很多蜂蜜, 那些谁抢掠 你辛苦的水果的人是快乐的。	每天从所有花朵中拿出很多蜂蜜, 掠夺你劳动果实的人是快乐的。
accomplishment starts with the decision to try.	完成从要尝试的决定开始 。	完成从要尝试的决定开始。
Do not always pour out your distress or expose your fragility to others.	不要总是倾注你的痛苦 或暴露你的脆弱性给别人。	不必总是倾注你的痛苦 或暴露你的脆弱性给别人。
difficulties are only illusions...	困难只是幻觉...	困难只是幻觉...
movie was a flop. Nobody went to see it.	电影很烂,没人去看	电影很烂,没人去看
I can because i think i can.	我可以,因为我认为我可以。	我可以,因为我认为我可以。
Crouch down, hold your knees when you are depressed.Forgive others and yourself.	蹲下 压抑时跪下 原谅其他人和你自己	蹲下 压抑时跪下 原谅其他人和你自己
Youth means limitless possibilities.	青年意味着无限的可能性。	青年意味着无限的可能性。
Is a  very  bully and selfish requirements, can become a reality hard to say.	是一个非常霸道和自私的要求, 可能变成一个很难说的现实。	是一个非常霸道和自私的要求,可以成为一个很难说的现实。
Instead of complaining that the rosebush is full of thorns, be happy that the thorn bush has roses.	而不是抱怨玫瑰花满是刺, 高兴的刺树有玫瑰。	与其抱怨玫瑰花满是刺,不如为刺树有玫瑰而高兴。
Say less and mean more	少说少说少说少说少说	少说少说少说少说少说少说
Give me the details.	告诉我细节	告诉我细节。
You meet me or not .	你见不见我?	你见不见我?
It will be health to your body, and nourishment to your bones.	你的身体将健康,你的骨骼将营养。	身体将健康,骨头将营养。
Miracles happen every day.	奇迹每天都在发生	奇迹每天都在发生。
I wait for miracles.When you have no doubt that your dream can come true and take action from that place, miracles happen	我等待奇迹的到来 当你毫不怀疑你的梦想会成真 从那个地方采取行动时 奇迹就会发生	我等待奇迹,当你毫不怀疑你的梦想能够实现并从那里采取行动时,奇迹就会发生。
Habit is habit, and not to be flung out of the window by any man, but coaxed downstairs a step at a time.	习惯是习惯, 而不是被任何男人扔出窗外, 但一次在楼下一步。	嗜好是一种习惯, 而不是被任何男人从窗户扔出去, 而是一次在楼下爬一步。
First dates are awkward, first kisses are heavenly, first loves are irreplaceable, and first heartbreaks are unforgettable.	第一次约会是尴尬的, 第一次吻是天堂, 第一次爱是不可替代的, 第一次心碎是令人难忘的。	第一次约会是尴尬的, 第一次吻是天堂, 第一次爱是不可替代的, 第一次心碎是令人难忘的。
When you really like something, but it also brings you hurt when, in fact, this is God to test you enough to adhere to.	当你真正喜欢某样东西的时候, 但它也使你受伤 当,事实上,这是上帝 考验你足够 遵守。	当你真正喜欢某样事物, 但它也带来伤害 当你,事实上,这是上帝 考验你足够 遵守。
China, Tajikistan pledge further military cooperation	中国、塔吉克斯坦承诺进一步开展军事合作	中国、塔吉克斯坦保证进一步开展军事合作
Smart people may not succeed.	聪明人可能不会成功	聪明人可能不会成功。
live in the present.	活在现在	活在现实中。
hug me, like you did by the lake on Naboo.	拥抱我 就像你在纳布湖边一样	拥抱我 就像你在纳布湖边一样
Commit your deeds to Yahweh, and your plans shall succeed.	你 向 耶 和 華 作 事 、 你 的 计谋 也 必 成功	你 向 耶 和 華 作 事 、 你 的 计 划 必 成功
Be happy no matter what.	不论发生什么 都开心点	不论发生什么都要快乐。
I owe an incalculable debt of gratitude to your help.	感谢你的帮助,我欠了不可估量的感激之情	感谢你的帮助,我欠了不可估量的感激之情。
The condemned man petitioned me governor for clemency.	被判有罪的人向我请求州长宽大处理	被判有罪的人向我请求州长宽大处理。
is what you do to the people you say you love is the only thing that matters.	就是你对你说爱的人做了什么 才是最重要的	就是你对你说爱的人所做的 才是最重要的
To find the right person , the only thing you need to do is to make good enough .	为了找到合适的人,你唯一需要做的就是做好事	找到合适的人,你唯一需要做的就是做好事。
he lost the courage to wait for a person to their own forces.	他失去了勇气 等待一个人 回到自己的部队。	他失去了等待一个人加入自己部队的勇气。
Love the feeling of the line, there is a thin line between you and me, we thought we could give more love, only to find out in the end that you want nothing at all.	爱的线的感觉, 你和我之间有一条细线, 我们认为我们可以给予更多的爱, 只是发现最终, 你什么都不想要。	爱线的感觉, 你和我之间有一条细线, 我们认为我们可以给予更多的爱, 只是为了最终发现 你什么都不想要。
Relationship should be careful to treat friends, and sometimes oneself may be misunderstood his friend, first to find the cause from oneself is good.	关系应该谨慎对待朋友,有时自己可能会被误解为朋友,首先发现自己的事业是好的。	关系应该谨慎对待朋友,有时自己可能被误解为朋友,首先发现自己的事业是好的。
Favour is deceitful,and beauty is vain.	喜悦是欺骗性的,美是徒劳的。	好处是欺骗性的,美是徒劳的。
Each person has own fate, all what do with other people.	每个人都有自己的命运, 与其他人的一切事情。	每个人有自己的命运,所有与其他人有关的一切。
